Name,Salary,Team,Pos,Opp,Proj_FP,Line,PP_Line
Thatcher Demko,8100,VAN,G,OTT,21.39,,
Auston Matthews,8400,TOR,C,EDM,16.38,1,1
Frederik Andersen,7700,TOR,G,EDM,15.72,,
Darcy Kuemper,8100,ARI,G,ANH,15.62,,
Connor McDavid,8500,EDM,C,TOR,15.46,1,1
Mikko Koskinen,7100,EDM,G,TOR,15.22,,
Philipp Grubauer,8500,COL,G,SJ,14.35,,
Leon Draisaitl,7500,EDM,C,TOR,14.05,2,1
Devan Dubnyk,6700,SJ,G,COL,13.92,,
John Gibson,7900,ANH,G,ARI,13.67,,
Nathan MacKinnon,8600,COL,C,SJ,13.58,1,1
Mitch Marner,7300,TOR,RW,EDM,13.22,1,1
Matt Murray,6900,OTT,G,VAN,12.77,,
Brent Burns,6700,SJ,D,COL,12.61,x,1
Ryan Nugent-Hopkins,7500,EDM,LW,TOR,12.12,1,1
John Tavares,6400,TOR,C,EDM,12.04,2,2
Mikko Rantanen,8200,COL,RW,SJ,11.34,1,1
Logan Couture,5000,SJ,C,COL,11.25,1,1
Brock Boeser,5600,VAN,RW,OTT,11.17,2,1
Tomas Hertl,5100,SJ,C,COL,11.12,2,1
Bo Horvat,6900,VAN,C,OTT,10.70,1,1
Elias Pettersson,5900,VAN,C,OTT,10.67,2,1
J.T. Miller,5800,VAN,LW,OTT,10.63,2,1
Evander Kane,5500,SJ,LW,COL,10.49,2,1
Quinn Hughes,5900,VAN,D,OTT,10.03,x,1
Gabriel Landeskog,7200,COL,LW,SJ,9.72,1,1
William Nylander,5300,TOR,RW,EDM,9.70,2,2
Erik Karlsson,4900,SJ,D,COL,9.57,x,1
Darnell Nurse,4500,EDM,D,TOR,9.56,x,1
Phil Kessel,4700,ARI,RW,ANH,9.41,3,2
Morgan Rielly,5300,TOR,D,EDM,9.38,x,1
Conor Garland,5400,ARI,RW,ANH,9.29,1,1
Brady Tkachuk,7000,OTT,LW,VAN,9.27,1,1
Rickard Rakell,4400,ANH,RW,ARI,9.03,1,2
Tyler Myers,4500,VAN,D,OTT,8.98,x,
Tyson Barrie,4200,EDM,D,TOR,8.75,x,2
Clayton Keller,4300,ARI,LW,ANH,8.74,2,2
Evgenii Dadonov,3600,OTT,RW,VAN,8.73,3,1
Joshua Norris,4800,OTT,C,VAN,8.69,1,1
Timo Meier,4700,SJ,LW,COL,8.62,3,2
Jesse Puljujarvi,4300,EDM,RW,TOR,8.61,1,2
Jakob Chychrun,5000,ARI,D,ANH,8.27,x,1
Christian Dvorak,3500,ARI,C,ANH,8.25,2,1
Kailer Yamamoto,4900,EDM,RW,TOR,8.22,2,
Nate Schmidt,4600,VAN,D,OTT,8.11,x,2
Thomas Chabot,6000,OTT,D,VAN,8.05,x,1
Cale Makar,6000,COL,D,SJ,7.98,x,1
Tanner Pearson,3500,VAN,LW,OTT,7.98,1,2
Kevin Labanc,3800,SJ,RW,COL,7.92,1,2
Jake Muzzin,4500,TOR,D,EDM,7.86,x,
Ryan Getzlaf,3900,ANH,C,ARI,7.60,1,2
Zach Hyman,4300,TOR,LW,EDM,7.56,1,2
Nick Schmaltz,5300,ARI,C,ANH,7.44,1,1
Ilya Mikheyev,2600,TOR,LW,EDM,7.43,2,
Devon Toews,5600,COL,D,SJ,7.31,x,2
Adam Henrique,4200,ANH,C,ARI,7.28,2,1
Alex Goligoski,3500,ARI,D,ANH,7.27,x,
Nazem Kadri,4600,COL,C,SJ,7.25,2,1
Jakob Silfverberg,3700,ANH,RW,ARI,7.15,2,1
Kevin Shattenkirk,3700,ANH,D,ARI,7.11,x,1
Hampus Lindholm,4200,ANH,D,ARI,7.06,x,
Nils Hoglander,3800,VAN,RW,OTT,6.99,1,2
Ryan Donato,2800,SJ,LW,COL,6.88,1,2
Connor Brown,4500,OTT,RW,VAN,6.85,2,2
John Leonard,2700,SJ,RW,COL,6.43,2,
Drake Caggiula,3200,ARI,LW,ANH,6.38,1,
Cam Fowler,2900,ANH,D,ARI,6.33,x,2
Justin Holl,2900,TOR,D,EDM,6.32,x,
Tyler Pitlick,2600,ARI,RW,ANH,6.24,2,2
T.J. Brodie,3400,TOR,D,EDM,6.24,x,
Jordan Oesterle,3300,ARI,D,ANH,6.23,x,2
James Neal,2800,EDM,LW,TOR,6.17,3,1
Jordie Benn,2800,VAN,D,OTT,6.16,x,
Drake Batherson,4600,OTT,RW,VAN,5.97,1,1
Samuel Girard,4300,COL,D,SJ,5.94,x,2
Derick Brassard,3100,ARI,C,ANH,5.94,3,1
Jake Virtanen,3000,VAN,LW,OTT,5.85,3,2
Tim Stutzle,3500,OTT,LW,VAN,5.84,2,2
Brandon Saad,2800,COL,LW,SJ,5.80,2,2
