Name,Salary,Team,Pos,Opp,Proj_FP,Line,PP_Line
Bryan Rust,6300,PIT,RW,BOS,7.58,1,1
Nick Schmaltz,5700,ARI,C,ANH,7.48,1,1
P.K. Subban,4200,NJ,D,PHI,7.48,x,2
Frank Vatrano,4000,FLA,LW,CLS,7.48,3,2
Paul Stastny,4300,WPG,C,EDM,7.47,2,1
Colton Parayko,4600,STL,D,VGK,7.45,x,2
Eric Staal,4600,BUF,C,NYR,7.44,2,2
Ryan Johansen,4000,NSH,C,CHI,7.40,1,1
Rasmus Dahlin,4100,BUF,D,NYR,7.39,x,1
Alex Goligoski,4200,ARI,D,ANH,7.35,x,
Adam Henrique,4700,ANH,C,ARI,7.34,2,1
John Klingberg,6200,DAL,D,DET,7.34,x,1
Filip Hronek,5300,DET,D,DAL,7.34,x,1
Brandon Montour,3600,BUF,D,NYR,7.32,x,
Dustin Brown,3600,LA,RW,MIN,7.32,3,1
Jared Spurgeon,4000,MIN,D,LA,7.28,x,1
Jacob Trouba,3800,NYR,D,BUF,7.28,x,2
Boone Jenner,4300,CLS,LW,FLA,7.24,2,1
Dylan Cozens,2800,BUF,RW,NYR,7.24,2,
Kevin Shattenkirk,3400,ANH,D,ARI,7.20,x,1
Nazem Kadri,4600,COL,C,SJ,7.20,2,1
Devon Toews,5900,COL,D,SJ,7.19,x,2
Jordan Eberle,5700,NYI,RW,WAS,7.17,1,1
Bobby Ryan,5500,DET,LW,DAL,7.16,3,1
Justin Faulk,3600,STL,D,VGK,7.15,x,
Jakub Voracek,4100,PHI,RW,NJ,7.13,1,2
Hampus Lindholm,4400,ANH,D,ARI,7.12,x,
Rasmus Andersson,5200,CGY,D,TOR,7.11,x,1
Mattias Ekholm,3900,NSH,D,CHI,7.06,x,2
Alex Iafallo,4800,LA,LW,MIN,7.01,1,1
Ty Smith,3700,NJ,D,PHI,6.98,x,1
Jake Muzzin,4800,TOR,D,CGY,6.98,x,
Zach Hyman,4600,TOR,LW,CGY,6.96,1,2
Mattias Janmark,3300,CHI,LW,NSH,6.94,3,2
Andrew Mangiapane,3700,CGY,LW,TOR,6.93,1,2
Damon Severson,5100,NJ,D,PHI,6.91,x,2
Adrian Kempe,3800,LA,RW,MIN,6.89,1,1
David Perron,4800,STL,RW,VGK,6.89,1,1
Mike Hoffman,3900,STL,LW,VGK,6.87,3,2
Ilya Mikheyev,2700,TOR,LW,CGY,6.80,2,
Anthony DeAngelo,2900,NYR,D,BUF,6.79,x,2
Nick Bonino,3800,MIN,C,LA,6.78,2,2
Keith Yandle,4800,FLA,D,CLS,6.76,x,1
Lars Eller,3800,WAS,C,NYI,6.74,2,2
Josh Bailey,3500,NYI,RW,WAS,6.62,2,2
Jack Hughes,5100,NJ,C,PHI,6.57,1,1
Ryan Donato,2800,SJ,LW,COL,6.55,1,2
Jared McCann,3300,PIT,LW,BOS,6.54,3,2
MacKenzie Weegar,4200,FLA,D,CLS,6.52,x,
John Leonard,2800,SJ,LW,COL,6.51,2,2
Derick Brassard,3100,ARI,LW,ANH,6.46,3,1
Erik Haula,2800,NSH,C,CHI,6.43,3,2
Cam Fowler,2900,ANH,D,ARI,6.42,x,2
Jason Zucker,2900,PIT,LW,BOS,6.41,2,2
Zach Sanford,3000,STL,LW,VGK,6.41,1,2
Max Domi,3100,CLS,C,FLA,6.41,1,2
Alexandre Texier,3300,CLS,C,FLA,6.40,2,2
Gabriel Vilardi,3200,LA,C,MIN,6.40,3,2
Esa Lindell,4900,DAL,D,DET,6.37,x,
Ryan Suter,4600,MIN,D,LA,6.36,x,1
Miles Wood,4300,NJ,LW,PHI,6.34,2,1
Luke Kunin,3800,NSH,RW,CHI,6.32,2,
Jordan Oesterle,3500,ARI,D,ANH,6.32,x,2
James Neal,2800,EDM,LW,WPG,6.29,3,1
Tyler Pitlick,2700,ARI,RW,ANH,6.26,3,2
Pius Suter,4500,CHI,C,NSH,6.26,1,2
Shayne Gostisbehere,2500,PHI,D,NJ,6.25,x,2
Brandon Carlo,3100,BOS,D,PIT,6.25,x,
Travis Sanheim,3300,PHI,D,NJ,6.22,x,
Chris Tanev,3800,CGY,D,TOR,6.21,x,
Vladislav Namestnikov,3100,DET,LW,DAL,6.20,2,2
Denis Gurianov,5600,DAL,RW,DET,6.20,1,1
Matt Dumba,4900,MIN,D,LA,6.15,x,2
Matt Roy,3400,LA,D,MIN,6.14,x,
Oskar Lindblom,3300,PHI,LW,NJ,6.12,2,1
Radek Faksa,2500,DAL,C,DET,6.12,3,2
Ryan Murray,3200,NJ,D,PHI,6.06,x,
Yegor Sharangovich,3200,NJ,LW,PHI,6.06,1,
Derek Forbort,3700,WPG,D,EDM,6.05,x,
Nick Foligno,3400,CLS,LW,FLA,6.04,1,1
Drake Caggiula,3400,ARI,LW,ANH,6.00,1,
Nikita Gusev,3700,NJ,RW,PHI,5.96,3,2
Jean-Gabriel Pageau,3500,NYI,C,WAS,5.96,3,2
Andreas Athanasiou,3600,LA,LW,MIN,5.93,2,
Sam Bennett,2500,CGY,LW,TOR,5.91,3,2
Nick Cousins,2500,NSH,LW,CHI,5.87,3,2
Jonas Brodin,3400,MIN,D,LA,5.85,x,2
Adam Pelech,4000,NYI,D,WAS,5.83,x,
Samuel Girard,4400,COL,D,SJ,5.82,x,2
Kaapo Kakko,2600,NYR,RW,BUF,5.81,3,2
Scott Laughton,2900,PHI,LW,NJ,5.81,2,
Jason Dickinson,2900,DAL,LW,DET,5.79,1,
Adam Lowry,3700,WPG,C,EDM,5.78,3,2
Noah Hanifin,3200,CGY,D,TOR,5.67,x,
David Savard,2900,CLS,D,FLA,5.64,x,
John Marino,2500,PIT,D,BOS,5.64,x,2
Scott Mayfield,2800,NYI,D,WAS,5.63,x,
Marc-Edouard Vlasic,2900,SJ,D,COL,5.63,x,
Joel Eriksson Ek,4200,MIN,C,LA,5.63,3,2
Colin Miller,2800,BUF,D,NYR,5.61,x,2
T.J. Brodie,4100,TOR,D,CGY,5.59,x,2
Dylan DeMelo,3100,WPG,D,EDM,5.57,x,
Justin Holl,3200,TOR,D,CGY,5.56,x,
Nick Leddy,4100,NYI,D,WAS,5.55,x,2
Mikey Anderson,3200,LA,D,MIN,5.55,x,
J.T. Compher,2900,COL,C,SJ,5.50,3,2
Brian Dumoulin,3600,PIT,D,BOS,5.47,x,
Justin Schultz,3100,WAS,D,NYI,5.45,x,1
Andre Burakovsky,4100,COL,RW,SJ,5.34,2,2
Richard Panik,2500,WAS,RW,NYI,5.32,2,
Dominik Kahun,2800,EDM,LW,WPG,5.28,2,2
Nolan Patrick,3600,PHI,C,NJ,5.28,3,1
Troy Stecher,2500,DET,D,DAL,5.26,x,
Alexander Wennberg,3400,FLA,C,CLS,5.26,2,2
Brandon Saad,2900,COL,LW,SJ,5.25,2,
Joel Farabee,3900,PHI,LW,NJ,5.22,2,2
Kyle Turris,2600,EDM,C,WPG,5.19,3,2
Danton Heinen,3500,ANH,LW,ARI,5.15,2,1
Jake McCabe,3500,BUF,D,NYR,5.10,x,
Ethan Bear,3100,EDM,D,WPG,5.01,x,2
Jeremy Lauzon,3400,BOS,D,PIT,5.01,x,
Noah Dobson,3800,NYI,D,WAS,5.01,x,1
Mario Ferraro,3100,SJ,D,COL,4.99,x,2
Kris Russell,2800,EDM,D,WPG,4.99,x,
Alex Kerfoot,3100,TOR,C,CGY,4.98,3,2
Philipp Kurashev,3100,CHI,RW,NSH,4.97,2,2
Marcus Johansson,3000,MIN,LW,LA,4.95,2,2
Dante Fabbro,3300,NSH,D,CHI,4.91,x,
Radko Gudas,3200,FLA,D,CLS,4.89,x,
Vladislav Gavrikov,2500,CLS,D,FLA,4.86,x,
Tyler Bozak,2500,STL,RW,VGK,4.82,3,2
Pavel Zacha,3300,NJ,C,PHI,4.81,3,2
Brayden McNabb,3300,VGK,D,STL,4.80,x,
Sam Steel,2500,ANH,C,ARI,4.74,3,2
Ty Dellandrea,2500,DAL,RW,DET,4.72,3,2
Niklas Hjalmarsson,3000,ARI,D,ANH,4.71,x,
Sean Walker,3400,LA,D,MIN,4.67,x,2
Jeff Skinner,3500,BUF,LW,NYR,4.66,4,2
Cody Eakin,2500,BUF,C,NYR,4.64,3,2
Travis Zajac,3200,NJ,C,PHI,4.61,2,1
Anton Stralman,3200,FLA,D,CLS,4.60,x,2
Henri Jokiharju,3000,BUF,D,NYR,4.59,x,
Zdeno Chara,3000,WAS,D,NYI,4.58,x,2
Jakub Zboril,2900,BOS,D,PIT,4.56,x,2
Jamie Oleksiak,2700,DAL,D,DET,4.54,x,2
Chandler Stephenson,4100,VGK,C,STL,4.51,1,2
Patrik Nemeth,3500,DET,D,DAL,4.48,x,
Mathieu Perreault,2500,WPG,LW,EDM,4.44,3,2
Luke Glendening,2500,DET,C,DAL,4.40,2,
Nick Bjugstad,3500,MIN,C,LA,4.33,1,
Jason Demers,2500,ARI,D,ANH,4.29,x,
Cal Clutterbuck,2500,NYI,RW,WAS,4.26,2,
Barrett Hayton,2800,ARI,C,ANH,4.20,2,2
Bowen Byram,2900,COL,D,SJ,4.18,x,
Mathias Brome,2800,DET,LW,DAL,4.14,1,2
Marc Staal,2500,DET,D,DAL,4.12,x,
Jani Hakanpaa,2900,ANH,D,ARI,4.10,x,
Max Jones,2500,ANH,LW,ARI,4.10,1,
Blake Lizotte,3600,LA,C,MIN,4.08,2,2
Kasperi Kapanen,2900,PIT,RW,BOS,4.05,2,2
Marco Scandella,2700,STL,D,VGK,4.01,x,
Valeri Nichushkin,2500,COL,RW,SJ,3.98,3,2
Ryan Lindgren,2700,NYR,D,BUF,3.96,x,
Dmitry Kulikov,2700,NJ,D,PHI,3.93,x,
Michael Rasmussen,2600,DET,C,DAL,3.82,3,2
Troy Terry,2500,ANH,RW,ARI,3.72,3,2
Ian Mitchell,2500,CHI,D,NSH,3.70,x,2
Brenden Dillon,3700,WAS,D,NYI,3.66,x,
Wayne Simmonds,2600,TOR,RW,CGY,3.62,3,1
Cody Ceci,3000,PIT,D,BOS,3.61,x,
Carl Soderberg,2500,CHI,C,NSH,3.55,3,
Kevan Miller,2600,BOS,D,PIT,3.55,x,
Brandon Hagel,2500,CHI,LW,NSH,3.55,4,
K'Andre Miller,2500,NYR,D,BUF,3.54,x,
Janne Kuokkanen,2500,NJ,LW,PHI,3.48,2,
Derek Grant,3100,ANH,C,ARI,3.45,4,1
Lawson Crouse,2600,ARI,LW,ANH,3.43,4,
Noel Acciari,3300,FLA,C,CLS,3.43,4,
Sean Kuraly,2500,BOS,C,PIT,3.39,4,
Ryan Graves,3300,COL,D,SJ,3.37,x,
Nicolas Deslauriers,2700,ANH,LW,ARI,3.34,4,
Michael Dal Colle,2500,NYI,LW,WAS,3.21,3,2
Dominik Simon,2500,CGY,RW,TOR,3.20,2,
Kyle Okposo,2500,BUF,RW,NYR,3.19,3,
Drew O'Connor,2500,PIT,C,BOS,3.15,4,2
Carter Rowney,3200,ANH,RW,ARI,3.14,4,
Jordan Kyrou,3400,STL,RW,VGK,3.13,2,2
Nicolas Aube-Kubel,2500,PHI,RW,NJ,3.07,4,
Casey Cizikas,2500,NYI,C,WAS,3.06,4,
Kale Clague,2800,LA,D,MIN,3.06,x,
Mikhail Grigorenko,2500,CLS,LW,FLA,2.97,4,2
Oskar Sundqvist,2700,STL,RW,VGK,2.97,4,
Nikita Zadorov,3000,CHI,D,NSH,2.95,x,
Nicholas Merkley,2500,NJ,LW,PHI,2.94,3,
Jordan Gross,2500,ARI,D,ANH,2.88,x,
Christian Djoos,2500,DET,D,DAL,2.83,x,2
Andy Greene,3300,NYI,D,WAS,2.79,x,
Derek Ryan,2500,CGY,C,TOR,2.78,4,
Anders Bjork,2500,BOS,LW,PIT,2.77,4,
Vince Dunn,2600,STL,D,VGK,2.76,x,
Brett Connolly,2500,FLA,RW,CLS,2.72,4,
Trent Frederic,2700,BOS,LW,PIT,2.72,3,
Carl Hagelin,2500,WAS,LW,NYI,2.71,3,
Michael Raffl,3000,PHI,LW,NJ,2.71,4,
Lucas Carlsson,2500,CHI,D,NSH,2.70,x,
Vinnie Hinostroza,2500,FLA,LW,CLS,2.66,4,
Jordan Greenway,2700,MIN,LW,LA,2.65,3,
Nic Dowd,2600,WAS,C,NYI,2.64,3,
Zack Kassian,2600,EDM,RW,WPG,2.64,3,
Tyson Jost,2500,COL,LW,SJ,2.64,4,
Kevin Stenlund,2500,CLS,C,FLA,2.61,4,2
Chris Wagner,2500,BOS,RW,PIT,2.61,4,
Andreas Johnsson,2500,NJ,RW,PHI,2.61,4,2
Juuso Valimaki,2600,CGY,D,TOR,2.58,x,
David Kampf,2500,CHI,C,NSH,2.57,4,
Tomas Nosek,2500,VGK,C,STL,2.55,4,
Christian Fischer,2500,ARI,RW,ANH,2.54,4,
Curtis Lazar,2700,BUF,C,NYR,2.52,4,
Owen Tippett,2500,FLA,RW,CLS,2.52,3,
Matt Nieto,2800,SJ,C,COL,2.51,4,
Ian Cole,2600,MIN,D,LA,2.51,x,
Trevor Moore,2500,LA,RW,MIN,2.48,4,
Taro Hirose,2500,DET,LW,DAL,2.46,4,2
Tobias Rieder,2600,BUF,LW,NYR,2.46,3,
Josh Leivo,2600,CGY,RW,TOR,2.45,3,
Brendan Smith,2500,NYR,D,BUF,2.44,x,
Nicolas Roy,2500,VGK,C,STL,2.43,3,
Phil Di Giuseppe,4200,NYR,LW,BUF,2.42,3,
Mikko Lehtonen,2500,TOR,D,CGY,2.42,x,2
Tanner Kero,2500,DAL,LW,DET,2.41,2,
Justin Braun,2700,PHI,D,NJ,2.41,x,
Johan Larsson,2500,ARI,C,ANH,2.39,4,
Patrick Marleau,2500,SJ,RW,COL,2.39,4,
Brandon Tanev,2500,PIT,RW,BOS,2.39,3,
Colin Blackwell,2500,NYR,LW,BUF,2.37,4,
Trevor Lewis,2500,WPG,RW,EDM,2.36,4,
Nathan Beaulieu,2600,WPG,D,EDM,2.36,x,
Garnet Hathaway,2500,WAS,RW,NYI,2.36,3,
William Carrier,2500,VGK,LW,STL,2.35,4,
Ryan Carpenter,2500,CHI,RW,NSH,2.35,4,
Frans Nielsen,3000,DET,C,DAL,2.34,4,
Colton Sissons,2600,NSH,RW,CHI,2.33,3,
Maxime Comtois,3000,ANH,LW,ARI,2.33,3,
Nicolas Hague,2500,VGK,D,STL,2.32,x,
Mathieu Olivier,2500,NSH,RW,CHI,2.32,4,
Brad Richardson,2700,NSH,C,CHI,2.31,4,
Adam Larsson,3600,EDM,D,WPG,2.31,x,
Joonas Donskoi,3100,COL,RW,SJ,2.30,3,
Noah Gregor,2500,SJ,RW,COL,2.29,3,
Liam Foudy,2500,CLS,RW,FLA,2.28,3,
Mark Jankowski,3000,PIT,C,BOS,2.28,4,
Mark Borowiecki,3500,NSH,D,CHI,2.28,x,
Pierre Engvall,2500,TOR,C,CGY,2.26,4,
Conor Sheary,2500,WAS,LW,NYI,2.25,4,2
Ryan Hartman,2600,MIN,RW,LA,2.24,4,
Jonas Siegenthaler,2500,WAS,D,NYI,2.24,x,
Colton Sceviour,2500,PIT,LW,BOS,2.23,4,
Marcus Sorensen,2500,SJ,LW,COL,2.23,4,
Mikko Koivu,2500,CLS,C,FLA,2.22,4,
Ivan Barbashev,2500,STL,C,VGK,2.22,4,
Brett Howden,2600,NYR,C,BUF,2.21,3,
Josh Archibald,2500,EDM,RW,WPG,2.19,4,
Nikita Nesterov,2500,CGY,D,TOR,2.19,x,
Dylan Gambrell,2500,SJ,C,COL,2.18,3,
Gustav Forsling,2600,FLA,D,CLS,2.17,x,
Riley Sheahan,2500,BUF,RW,NYR,2.17,4,
Jimmy Vesey,3600,TOR,LW,CGY,2.15,3,
Robert Thomas,2700,STL,C,VGK,2.13,3,
Milan Lucic,2500,CGY,LW,TOR,2.12,4,2
Zach Whitecloud,2900,VGK,D,STL,2.11,x,
Brendan Lemieux,2500,NYR,LW,BUF,2.10,4,
Michael Amadio,2500,LA,C,MIN,2.09,4,2
Marcus Foligno,2600,MIN,RW,LA,2.09,3,
Matthew Highmore,2500,CHI,LW,NSH,2.08,3,
Eric Robinson,2500,CLS,LW,FLA,2.07,3,
Kieffer Bellows,2500,NYI,LW,WAS,2.06,3,
Riley Nash,2500,CLS,C,FLA,2.06,3,
Trevor van Riemsdyk,2500,WAS,D,NYI,2.06,x,
Daniel Sprong,2500,WAS,RW,NYI,2.06,4,2
Jansen Harkins,2500,WPG,LW,EDM,2.05,4,2
Robert Hagg,2600,PHI,D,NJ,2.03,x,
Patrick Russell,2500,EDM,D,WPG,2.03,x,
Pierre-Edouard Bellemare,2500,COL,C,SJ,2.02,4,
Justin Dowling,2500,DAL,LW,DET,2.01,4,2
Caleb Jones,2500,EDM,D,WPG,2.00,x,
Erik Johnson,2700,COL,D,SJ,1.97,x,
Joakim Nordstrom,2500,CGY,RW,TOR,1.94,4,
Niko Mikkola,2500,STL,D,VGK,1.94,x,
Danny DeKeyser,2700,DET,D,DAL,1.91,x,
Teddy Blueger,2900,PIT,C,BOS,1.91,3,
Michael Del Zotto,3500,CLS,D,FLA,1.91,x,
Andrej Sekera,2800,DAL,D,DET,1.90,x,
Andrew Cogliano,2500,DAL,LW,DET,1.88,3,
Mason Appleton,2500,WPG,RW,EDM,1.86,3,
Kurtis MacDermid,2800,LA,D,MIN,1.85,x,
Joey Anderson,2500,TOR,RW,CGY,1.83,4,
Kiefer Sherwood,2500,COL,LW,SJ,1.82,4,
Matt Martin,2500,NYI,LW,WAS,1.79,4,
Carson Soucy,2500,MIN,D,LA,1.78,x,
Pierre-Olivier Joseph,2700,PIT,D,BOS,1.75,x,
Ryan Reaves,2500,VGK,RW,STL,1.75,4,
Victor Rask,2500,MIN,C,LA,1.74,4,
Valtteri Filppula,2500,DET,RW,DAL,1.73,3,
Yakov Trenin,2500,NSH,LW,CHI,1.71,4,
Carl Grundstrom,2500,LA,LW,MIN,1.71,4,
Logan Stanley,2700,WPG,D,EDM,1.70,x,
Travis Boyd,2500,TOR,C,CGY,1.70,4,
Nick Caamano,2500,DAL,RW,DET,1.67,4,
Givani Smith,2500,DET,RW,DAL,1.67,4,
Michael McLeod,2500,NJ,C,PHI,1.65,4,
Jacob Larsson,2800,ANH,D,ARI,1.65,x,
Zach Bogosian,2600,TOR,D,CGY,1.65,x,
Chad Ruhwedel,2500,PIT,D,BOS,1.64,x,
Brad Hunt,2500,MIN,LW,LA,1.58,4,
Nathan Bastian,2500,NJ,RW,PHI,1.57,4,
Connor Bunnaman,2500,PHI,C,NJ,1.55,4,
Kevin Rooney,2500,NYR,RW,BUF,1.55,4,
Lias Andersson,2500,LA,LW,MIN,1.54,3,
Dean Kukan,2500,CLS,D,FLA,1.54,x,
Mark Friedman,2500,PHI,D,NJ,1.54,x,
Ross Johnston,2500,NYI,RW,WAS,1.54,4,
Kyle Clifford,2500,STL,LW,VGK,1.54,4,
Rhett Gardner,2500,DAL,C,DET,1.50,4,
Jujhar Khaira,2500,EDM,C,WPG,1.47,4,
Radim Simek,2500,SJ,D,COL,1.45,x,
Matt Tennyson,2500,NJ,D,PHI,1.40,x,
Nico Sturm,2500,MIN,LW,LA,1.39,4,
Andy Welinski,2500,ANH,D,ARI,1.38,x,
Mark Pysyk,2500,DAL,D,DET,1.30,x,
Nikolai Knyzhov,2500,SJ,D,COL,1.16,x,
Michael Sgarbossa,2500,WAS,C,NYI,1.09,4,
Keegan Kolesar,2500,VGK,RW,STL,0.97,3,
David Gustafsson,2500,WPG,C,EDM,0.51,4,
Eetu Luostarinen,3000,FLA,C,CLS,0.38,3,
Matiss Kivlenieks,6500,CLS,G,FLA,0.0,,
Bokondji Imama,2500,LA,RW,MIN,0.0,5,
Gustav Lindstrom,2500,DET,D,DAL,0.0,x,
Otto Koivula,2500,NYI,RW,WAS,0.0,5,
Collin Delia,6500,CHI,G,NSH,0.0,,
Dominic Toninato,2500,WPG,LW,EDM,0.0,5,
Andrei Altybarmakyan,2500,CHI,RW,NSH,0.0,,
Stuart Skinner,7600,EDM,G,WPG,0.0,,
Cameron Crotty,2500,ARI,D,ANH,0.0,x,
Kyle Criscuolo,2500,DET,C,DAL,0.0,,
Sebastian Aho,2500,NYI,D,WAS,0.0,x,
Urho Vaakanainen,2500,BOS,D,PIT,0.0,x,
Matthew Strome,2500,PHI,LW,NJ,0.0,,
Jake Oettinger,8300,DAL,G,DET,0.0,,
Morgan Frost,2500,PHI,C,NJ,0.0,7,
Evan Barratt,2500,CHI,C,NSH,0.0,,
Adam Ruzicka,2500,CGY,C,TOR,0.0,,
Jason Robertson,2500,DAL,LW,DET,0.0,5,
Aleksi Heponiemi,2500,FLA,LW,CLS,0.0,6,
Mario Kempe,2500,LA,C,MIN,0.0,,
Tim Soderlund,2500,CHI,C,NSH,0.0,,
Tyler Steenbergen,2500,ARI,LW,ANH,0.0,,
Jesper Boqvist,2500,NJ,RW,PHI,0.0,5,
Alex Chmelevski,2500,SJ,RW,COL,0.0,6,
Dylan Samberg,2500,WPG,D,EDM,0.0,x,
Ivan Chekhovich,2500,SJ,LW,COL,0.0,,
Mackenzie Entwistle,2500,CHI,RW,NSH,0.0,5,
Ostap Safin,2500,EDM,RW,WPG,0.0,,
Emil Bemstrom,2500,CLS,RW,FLA,0.0,5,
Antoine Morand,2500,ANH,C,ARI,0.0,,
Nick Henry,2500,COL,RW,SJ,0.0,,
Tanner Jeannot,2500,NSH,LW,CHI,0.0,,
Brian Pinho,2500,WAS,C,NYI,0.0,5,
