Name,Salary,Team,Pos,Opp,Proj_FP
Demetris Robertson,3300,UGA,WR,SCAR,4.0
Thomas MacVittie,4500,KANSAS,QB,TCU,3.5
Brittain Brown,4000,UCLA,RB,ARI,8.1
Mark Birmingham,3000,DUKE,WR,GATECH,0.0
Tyler Burns,3000,KANST,RB,BAYLOR,0.7
D.J. Render,3000,KANST,WR,BAYLOR,2.8
Nick Lenners,3000,KANST,RB,BAYLOR,1.6
Collin Hill,5400,SCAR,QB,UGA,11.4
Tony Poljan,4600,UVA,WR,FLAST,11.1
Kellen Mond,8900,TEXA&M,QB,LSU,23.7
Demetric Felton,8400,UCLA,RB,ARI,27.4
Hezekiah Jones,3800,TEXA&M,WR,LSU,6.5
Jared Atkinson,3000,BAYLOR,WR,KANST,2.9
John Lovett,4300,BAYLOR,RB,KANST,8.4
Racey McMath,3800,LSU,WR,TEXA&M,7.9
Evidence Njoku,3000,UCLA,WR,ARI,0.0
Gary Brightwell,6300,ARI,RB,UCLA,15.0
Trestan Ebner,5900,BAYLOR,RB,KANST,13.0
Gavin Holmes,3900,BAYLOR,WR,KANST,7.8
Lindell Stone,6800,UVA,QB,FLAST,8.5
Charlie Brewer,6500,BAYLOR,QB,KANST,17.9
Bryce Wolma,3000,ARI,WR,UCLA,1.7
Deon Jackson,4800,DUKE,RB,GATECH,12.3
Noah Gray,3600,DUKE,WR,GATECH,7.8
Terrell Jana,4300,UVA,WR,FLAST,10.0
Jalen Camp,4400,GATECH,WR,DUKE,8.7
R.J. Sneed,5200,BAYLOR,WR,KANST,12.3
Camron Buckley,3000,TEXA&M,WR,LSU,0.0
Keytaon Thompson,4500,UVA,QB,FLAST,7.6
Shi Smith,6200,SCAR,WR,UGA,18.2
JT Daniels,8600,UGA,QB,SCAR,32.9
Terrace Marshall,7600,LSU,WR,TEXA&M,26.1
Zamir White,6100,UGA,RB,SCAR,15.6
James Cook,3900,UGA,RB,SCAR,9.6
Drew Dixon,3000,ARI,WR,UCLA,0.0
Brian Casteel,3200,ARI,WR,UCLA,5.0
Stanley Berryhill,5600,ARI,WR,UCLA,22.3
Marquez Ezzard,3200,GATECH,WR,DUKE,4.3
Kearis Jackson,5400,UGA,WR,SCAR,13.9
Jordan Travis,7200,FLAST,QB,UVA,19.3
Malachi Carter,4000,GATECH,WR,DUKE,9.8
PeJe' Harris,3800,GATECH,WR,DUKE,5.9
Dontae Smith,3000,GATECH,RB,DUKE,5.1
Dakereon Joyner,3000,SCAR,WR,UGA,3.3
Chad Terrell,3000,SCAR,WR,UGA,0.0
Taye Barber,6000,TCU,WR,KANSAS,10.9
Pro Wells,3200,TCU,WR,KANSAS,5.5
Gerry Bohanon,6000,BAYLOR,QB,KANST,1.1
