Name,Salary,Team,Pos,Opp,Proj_FP,Line,PP_Line
Connor McDavid,8500,EDM,C,OTT,16.75,1,1
Leon Draisaitl,8000,EDM,C,OTT,15.96,2,1
Stuart Skinner,8300,EDM,G,OTT,15.83,,
Nathan MacKinnon,8600,COL,C,MIN,14.92,1,1
Cam Talbot,7300,MIN,G,COL,14.75,,
Elvis Merzlikins,7500,CLS,G,CHI,14.71,,
Ilya Sorokin,7300,NYI,G,PHI,14.43,,
Kevin Lankinen,7600,CHI,G,CLS,13.51,,
John Gibson,7200,ANH,G,STL,13.12,,
Brian Elliott,7600,PHI,G,NYI,12.87,,
Ryan Nugent-Hopkins,7500,EDM,LW,OTT,12.77,1,1
Matt Murray,6900,OTT,G,EDM,12.70,,
Mikko Rantanen,8200,COL,RW,MIN,12.32,1,1
Ville Husso,7900,STL,G,ANH,12.14,,
Patrick Kane,8300,CHI,RW,CLS,11.75,1,1
Ryan O'Reilly,5400,STL,C,ANH,11.63,1,1
Zach Parise,5500,MIN,LW,COL,10.82,1,1
Gabriel Landeskog,7700,COL,LW,MIN,10.48,1,1
Jaden Schwartz,4800,STL,LW,ANH,10.09,2,1
Darnell Nurse,5100,EDM,D,OTT,10.08,x,1
Brayden Schenn,5500,STL,C,ANH,9.94,2,1
Brady Tkachuk,7300,OTT,LW,EDM,9.88,1,1
Torey Krug,5600,STL,D,ANH,9.77,x,1
Kevin Hayes,6400,PHI,C,NYI,9.62,2,1
Zach Werenski,5400,CLS,D,CHI,9.54,x,1
Travis Konecny,5100,PHI,RW,NYI,9.53,2,2
Tyson Barrie,4100,EDM,D,OTT,9.34,x,2
Kirill Kaprizov,5200,MIN,RW,COL,9.33,2,1
Colton Parayko,4300,STL,D,ANH,9.19,x,
James van Riemsdyk,4500,PHI,LW,NYI,9.17,2,1
Claude Giroux,4600,PHI,LW,NYI,9.16,1,1
Ivan Provorov,5700,PHI,D,NYI,9.16,x,1
Seth Jones,5200,CLS,D,CHI,9.11,x,2
Joshua Norris,5000,OTT,C,EDM,9.05,1,1
Evgenii Dadonov,3300,OTT,RW,EDM,9.04,3,1
Cam Atkinson,4700,CLS,RW,CHI,8.99,1,1
Oliver Bjorkstrand,4600,CLS,RW,CHI,8.98,2,1
Justin Faulk,4000,STL,D,ANH,8.77,x,
Jesse Puljujarvi,4200,EDM,RW,OTT,8.76,1,2
Mathew Barzal,6900,NYI,C,PHI,8.70,1,1
Rickard Rakell,4300,ANH,RW,STL,8.65,1,1
Anders Lee,6400,NYI,LW,PHI,8.64,1,1
David Perron,5400,STL,RW,ANH,8.64,1,1
Cale Makar,6500,COL,D,MIN,8.59,x,1
Hunter Miska,7800,COL,G,MIN,8.52,,
Zach Sanford,3300,STL,LW,ANH,8.43,1,2
Kailer Yamamoto,4700,EDM,RW,OTT,8.38,2,
Ryan Pulock,4900,NYI,D,PHI,8.09,x,1
Nazem Kadri,5300,COL,C,MIN,7.95,2,1
Jared Spurgeon,3900,MIN,D,COL,7.89,x,1
Brock Nelson,4900,NYI,C,PHI,7.84,2,2
Jordan Eberle,5700,NYI,RW,PHI,7.84,1,1
Connor Murphy,6000,CHI,D,CLS,7.82,x,2
Shayne Gostisbehere,3500,PHI,D,NYI,7.71,x,2
Dylan Strome,6100,CHI,C,CLS,7.63,2,1
Mike Hoffman,3600,STL,LW,ANH,7.62,3,2
Boone Jenner,4100,CLS,LW,CHI,7.61,1,2
Joel Eriksson Ek,4800,MIN,C,COL,7.53,2,2
Dominik Kubalik,5900,CHI,LW,CLS,7.45,2,1
Ryan Getzlaf,3500,ANH,C,STL,7.39,1,1
Jakub Voracek,4100,PHI,RW,NYI,7.38,1,1
Connor Brown,4000,OTT,RW,EDM,7.19,1,2
Ryan Suter,4500,MIN,D,COL,7.14,x,1
Tim Stutzle,3200,OTT,LW,EDM,7.14,2,2
Max Domi,3800,CLS,C,CHI,7.06,3,1
James Neal,3000,EDM,LW,OTT,7.00,3,1
Adam Henrique,4400,ANH,C,STL,6.95,2,1
Hampus Lindholm,4000,ANH,D,STL,6.94,x,
Jakob Silfverberg,3700,ANH,RW,STL,6.88,2,1
Duncan Keith,5500,CHI,D,CLS,6.74,x,1
